Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	GB	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	Arabidopsis_thaliana3G13782	5	1	2	4	4	2	5	1	1	5	8	1	7	2	5	3	4	2	2	3	4

(null)	Arabidopsis_thaliana3G20010	6	3	2	2	1	6	2	2	2	3	2	1	4	2	1	1	2	1	2	1	4

(null)	Arabidopsis_thaliana3G23780	4	7	3	4	6	3	4	2	2	2	6	2	3	3	5	3	5	7	2	1	5

(null)	Arabidopsis_thaliana3G24340	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana3G24440	6	1	3	3	4	2	3	0	1	4	2	0	5	0	2	0	1	3	4	0	7

(null)	Arabidopsis_thaliana3G28730	2	2	1	3	2	1	1	1	1	2	2	1	2	1	2	3	2	1	1	1	2

(null)	Arabidopsis_thaliana3G33520	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	2

(null)	Arabidopsis_thaliana3G42670	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana3G43240	2	1	1	2	2	1	1	1	1	6	1	1	2	2	1	0	1	1	2	1	3

(null)	Arabidopsis_thaliana3G44530	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	4	1	1	1	1	2

(null)	Arabidopsis_thaliana3G48710	5	0	1	3	3	1	1	1	1	2	4	1	4	1	3	3	4	4	2	1	4

(null)	Arabidopsis_thaliana3G49600	2	0	1	2	1	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	2

(null)	Arabidopsis_thaliana3G51880	9	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10

(null)	Arabidopsis_thaliana3G55580	3	1	2	1	1	1	0	1	1	2	2	1	4	4	2	3	0	1	2	0	3

(null)	Arabidopsis_thaliana3G62300	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana4G02060	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2

(null)	Arabidopsis_thaliana4G05420	3	1	1	3	1	1	1	1	1	1	2	1	1	2	2	3	1	1	1	1	2

(null)	Arabidopsis_thaliana4G10180	2	1	1	1	1	1	1	1	1	2	2	1	1	3	2	3	1	1	1	1	4

(null)	Arabidopsis_thaliana4G10670	3	2	2	0	2	1	1	1	1	3	4	1	4	1	3	2	1	2	2	1	1

(null)	Arabidopsis_thaliana4G10710	3	2	2	0	2	1	1	1	1	3	4	1	4	1	3	2	1	2	2	1	1

(null)	Arabidopsis_thaliana4G16280	5	1	2	3	4	2	3	2	2	4	7	2	4	4	7	5	1	3	4	3	4

(null)	Arabidopsis_thaliana4G22140	4	1	2	3	6	2	1	3	2	4	4	3	7	9	5	4	4	3	3	1	5

(null)	Arabidopsis_thaliana4G26630	5	0	1	3	3	1	1	1	1	2	4	1	4	1	3	3	4	4	2	1	4

(null)	Arabidopsis_thaliana4G29730	3	1	1	1	1	0	2	1	2	1	1	1	3	1	0	3	1	1	2	1	2

(null)	Arabidopsis_thaliana4G29830	2	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	0	1	2	1	1

(null)	Arabidopsis_thaliana4G31900	4	2	2	2	2	3	1	1	3	1	1	3	4	3	5	3	2	2	3	1	1

(null)	Arabidopsis_thaliana4G32620	3	2	2	2	1	1	1	1	1	2	2	1	4	2	2	3	1	2	2	0	5

(null)	Arabidopsis_thaliana4G35050	4	1	1	4	3	1	1	1	1	4	7	1	4	1	2	4	3	3	2	1	5

(null)	Arabidopsis_thaliana4G35570	9	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10

(null)	Arabidopsis_thaliana4G36290	8	1	3	3	9	6	3	1	1	4	6	1	6	8	5	0	2	2	6	0	7

(null)	Arabidopsis_thaliana4G37280	3	2	1	3	2	3	2	1	1	3	1	1	3	2	0	3	1	4	2	1	1

(null)	Arabidopsis_thaliana4G37860	3	1	2	1	11	0	1	1	1	2	2	1	3	3	2	3	3	2	1	0	3

(null)	Arabidopsis_thaliana4G38495	2	0	1	1	1	2	1	1	1	1	1	1	1	3	1	3	2	2	1	0	1

(null)	Arabidopsis_thaliana5G04670	3	2	2	2	1	1	1	1	1	2	2	1	4	2	2	3	1	2	2	0	5

(null)	Arabidopsis_thaliana5G05330	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana5G06110	3	1	1	2	1	1	1	1	1	1	2	1	2	3	1	3	5	1	1	1	2

(null)	Arabidopsis_thaliana5G09790	3	2	1	2	3	1	2	0	1	2	2	1	4	3	4	0	2	2	3	0	2

(null)	Arabidopsis_thaliana5G10140	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana5G12910	15	7	2	6	37	6	5	8	3	12	21	10	16	18	17	1	5	5	11	12	17

(null)	Arabidopsis_thaliana5G14170	3	1	1	1	1	1	2	1	1	1	1	1	4	3	1	6	1	1	2	1	3

(null)	Arabidopsis_thaliana5G17690	2	3	1	1	3	0	0	0	0	1	2	3	2	1	2	0	1	2	1	0	0

(null)	Arabidopsis_thaliana5G18620	3	3	3	3	2	2	2	1	1	3	5	2	2	6	2	3	3	2	1	1	2

(null)	Arabidopsis_thaliana5G19310	4	2	3	2	2	2	2	3	2	2	5	2	4	3	3	3	3	2	3	1	3

(null)	Arabidopsis_thaliana5G20420	8	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5

(null)	Arabidopsis_thaliana5G24330	3	2	1	2	3	1	2	0	1	2	2	1	4	3	4	0	2	2	3	0	2

(null)	Arabidopsis_thaliana5G24500	2	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	2

(null)	Arabidopsis_thaliana5G26770	5	0	1	3	4	0	0	0	0	2	0	1	2	0	2	0	1	1	2	0	6

(null)	Arabidopsis_thaliana5G42060	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

(null)	Arabidopsis_thaliana5G43990	4	1	5	3	2	1	1	3	0	1	3	2	4	2	2	0	2	3	2	0	4

(null)	Arabidopsis_thaliana5G44180	4	1	2	3	2	2	2	1	2	2	4	1	5	2	3	0	2	2	6	0	7

(null)	Arabidopsis_thaliana5G44800	2	1	1	1	1	1	2	0	1	1	0	1	2	2	1	3	1	1	1	1	0

(null)	Arabidopsis_thaliana5G45600	3	3	1	1	1	1	1	1	1	1	1	1	3	2	2	3	1	1	2	1	1

(null)	Arabidopsis_thaliana5G55660	5	0	1	3	3	1	1	1	1	2	4	1	4	1	3	3	4	4	2	1	4

(null)	Arabidopsis_thaliana5G56950	5	1	2	4	4	2	5	1	1	5	8	1	7	2	5	3	4	2	2	3	4

(null)	Arabidopsis_thaliana5G58230	4	1	1	4	3	1	1	1	1	4	7	1	4	1	2	4	3	3	2	1	5

(null)	Arabidopsis_thaliana5G61070	4	0	1	1	1	1	1	2	1	1	2	2	1	1	1	3	1	1	1	0	1

(null)	Arabidopsis_thaliana5G61380	2	0	1	2	3	1	0	1	1	1	2	1	1	0	1	0	2	1	1	0	8

(null)	Arabidopsis_thaliana5G63550	5	0	1	3	3	1	1	1	1	2	4	1	4	1	3	3	4	4	2	1	4

(null)	Arabidopsis_thaliana5G63860	2	1	1	1	1	1	2	1	1	2	3	1	1	2	2	3	1	1	1	2	1

(null)	Arabidopsis_thaliana5G63950	2	1	2	1	2	1	1	1	1	3	6	1	2	2	3	5	1	1	1	1	1

(null)	Arabidopsis_thaliana5G64630	2	1	1	1	1	0	1	1	1	1	2	1	1	2	2	3	1	1	1	2	1

(null)	Arabidopsis_thaliana5G66750	2	1	1	1	2	1	1	1	1	2	2	1	2	1	1	3	1	1	1	1	2

(null)	Arabidopsis_thaliana5G67100	2	2	1	1	1	3	1	1	1	1	2	1	1	1	4	3	1	2	1	1	1
